"filename", "language", "Python", "CSV", "Properties", "comment", "blank", "total"
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\Sentimental_seqLSTM.csv", "CSV", 0, 28, 0, 0, 2, 30
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\Sentimental_seqLSTM_short.csv", "CSV", 0, 9, 0, 0, 2, 11
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\Transformer.csv", "CSV", 0, 893, 0, 0, 7, 900
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\Transformer_short.csv", "CSV", 0, 11, 0, 0, 0, 11
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div16q\AlphaGoZero.csv", "CSV", 0, 9, 0, 0, 2, 11
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div16q\DeepSpeech2.csv", "CSV", 0, 7, 0, 0, 0, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div16q\FasterRCNN.csv", "CSV", 0, 47, 0, 0, 0, 47
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div16q\NCF_recommendation_short.csv", "CSV", 0, 7, 0, 0, 2, 9
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div16q\Resnet50.csv", "CSV", 0, 55, 0, 0, 2, 57
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div16q\Sentimental_seqCNN.csv", "CSV", 0, 5, 0, 0, 2, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div16q\Sentimental_seqLSTM_short.csv", "CSV", 0, 9, 0, 0, 2, 11
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div16q\Transformer_short.csv", "CSV", 0, 10, 0, 0, 2, 12
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div256q\AlphaGoZero.csv", "CSV", 0, 10, 0, 0, 0, 10
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div256q\DeepSpeech2.csv", "CSV", 0, 7, 0, 0, 0, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div256q\FasterRCNN.csv", "CSV", 0, 47, 0, 0, 0, 47
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div256q\NCF_recommendation_short.csv", "CSV", 0, 8, 0, 0, 0, 8
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div256q\Resnet50.csv", "CSV", 0, 56, 0, 0, 0, 56
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div256q\Sentimental_seqCNN.csv", "CSV", 0, 6, 0, 0, 0, 6
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div256q\Sentimental_seqLSTM_short.csv", "CSV", 0, 10, 0, 0, 0, 10
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div256q\Transformer_short.csv", "CSV", 0, 11, 0, 0, 0, 11
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div4q\AlphaGoZero.csv", "CSV", 0, 9, 0, 0, 2, 11
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div4q\DeepSpeech2.csv", "CSV", 0, 7, 0, 0, 0, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div4q\FasterRCNN.csv", "CSV", 0, 47, 0, 0, 0, 47
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div4q\NCF_recommendation_short.csv", "CSV", 0, 7, 0, 0, 2, 9
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div4q\Resnet50.csv", "CSV", 0, 55, 0, 0, 2, 57
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div4q\Sentimental_seqCNN.csv", "CSV", 0, 5, 0, 0, 2, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div4q\Sentimental_seqLSTM_short.csv", "CSV", 0, 9, 0, 0, 2, 11
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div4q\Transformer_short.csv", "CSV", 0, 10, 0, 0, 2, 12
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div64q\AlphaGoZero.csv", "CSV", 0, 10, 0, 0, 0, 10
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div64q\DeepSpeech2.csv", "CSV", 0, 7, 0, 0, 0, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div64q\FasterRCNN.csv", "CSV", 0, 47, 0, 0, 0, 47
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div64q\NCF_recommendation_short.csv", "CSV", 0, 8, 0, 0, 0, 8
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div64q\Resnet50.csv", "CSV", 0, 56, 0, 0, 0, 56
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div64q\Sentimental_seqCNN.csv", "CSV", 0, 6, 0, 0, 0, 6
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div64q\Sentimental_seqLSTM_short.csv", "CSV", 0, 10, 0, 0, 0, 10
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\div64q\Transformer_short.csv", "CSV", 0, 11, 0, 0, 0, 11
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\legacy\Alexnet.csv", "CSV", 0, 9, 0, 0, 2, 11
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\legacy\Googlenet.csv", "CSV", 0, 59, 0, 0, 2, 61
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\mlperf\test.csv", "CSV", 0, 2, 0, 0, 2, 4
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\resnet\resnet_fwd.csv", "CSV", 0, 55, 0, 0, 1, 56
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\resnet\resnet_input_grad.csv", "CSV", 0, 55, 0, 0, 1, 56
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\resnet\resnet_weight_grad.csv", "CSV", 0, 55, 0, 0, 1, 56
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\rnn_eval\LSTM_template.csv", "CSV", 0, 12, 0, 0, 1, 13
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\rnn_eval\deep_voice.csv", "CSV", 0, 4, 0, 0, 1, 5
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\rnn_eval\google_translate_dec.csv", "CSV", 0, 9, 0, 0, 2, 11
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\rnn_eval\google_translate_enc.csv", "CSV", 0, 10, 0, 0, 2, 12
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\rnn_eval\handwriting_rec.csv", "CSV", 0, 3, 0, 0, 1, 4
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\rnn_eval\melody_extraction_detection.csv", "CSV", 0, 3, 0, 0, 1, 4
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\transformer\transformer_fwd.csv", "CSV", 0, 55, 0, 0, 0, 55
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\transformer\transformer_inpgrad.csv", "CSV", 0, 55, 0, 0, 1, 56
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\transformer\transformer_weightgrad.csv", "CSV", 0, 12, 0, 0, 1, 13
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\translation\gpt2.csv", "CSV", 0, 7, 0, 0, 0, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\translation\gpt2_multihead_layers.csv", "CSV", 0, 3, 0, 0, 1, 4
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\translation\gpt2_multihead_layers_old.csv", "CSV", 0, 3, 0, 0, 1, 4
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\translation\gpt2_new.csv", "CSV", 0, 7, 0, 0, 0, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\translation\gpt2_old.csv", "CSV", 0, 7, 0, 0, 0, 7
"d:\python\3.12.2\lib\site-packages\scalesim\topologies\translation\gpt2_sans_mulithead.csv", "CSV", 0, 5, 0, 0, 1, 6
"d:\python\3.12.2\lib\site-packages\scalesim\topology_utils.py", "Python", 328, 0, 0, 21, 67, 416
"d:\python\3.12.2\lib\site-packages\scalesim\utilities\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\python\3.12.2\lib\site-packages\scalesim\utilities\scalesim_report.py", "Python", 50, 0, 0, 8, 18, 76
"Total", "-", 3768, 5619, 48, 1734, 1666, 12835
