LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,,
12,1,106773,3115008,1,106801,3244032,1151,106831,176640,1,310992,3109913,1,324404,3244032,81310,108511,86528,,13958000
13,1,75953,1605632,1,75969,1638400,127,75999,811008,1,160564,1605632,1,163840,1638400,12477,77279,401408,,8317476
14,1,127153,3211264,1,127169,3276800,255,127199,811008,1,321127,3211264,1,327680,3276800,20925,128479,401408,,15326167
15,1,57353,1605632,1,57369,1638400,511,57399,202752,1,160564,1605632,1,163840,1638400,37821,58487,100352,,7307844
16,1,106773,3115008,1,106801,3244032,1151,106831,176640,1,310992,3109913,1,324404,3244032,81310,108511,86528,,13958000
17,1,75953,1605632,1,75969,1638400,127,75999,811008,1,160564,1605632,1,163840,1638400,12477,77279,401408,,8317476
18,1,57353,1605632,1,57369,1638400,511,57399,202752,1,160564,1605632,1,163840,1638400,37821,58487,100352,,7307844
19,1,106773,3115008,1,106801,3244032,1151,106831,176640,1,310992,3109913,1,324404,3244032,81310,108511,86528,,13958000
20,1,75953,1605632,1,75969,1638400,127,75999,811008,1,160564,1605632,1,163840,1638400,12477,77279,401408,,8317476
21,1,57353,1605632,1,57369,1638400,511,57399,202752,1,160564,1605632,1,163840,1638400,37821,58487,100352,,7307844
22,1,106773,3115008,1,106801,3244032,1151,106831,176640,1,310992,3109913,1,324404,3244032,81310,108511,86528,,13958000
23,1,75953,1605632,1,75969,1638400,127,75999,811008,1,160564,1605632,1,163840,1638400,12477,77279,401408,,8317476
24,1,32085,802816,1,32113,917504,511,32143,107520,1,80282,802816,1,91751,917504,32143,33711,50176,,3867763
25,1,94593,2654208,1,94609,2949120,2303,94639,77824,1,265421,2654208,1,294912,2949120,94639,95791,36864,,12164363
26,1,71173,1605632,1,71201,1835008,255,71231,430080,1,160564,1605632,1,183501,1835008,23191,72383,200704,,8118667
27,1,128517,3211264,1,128545,3670016,511,128575,430080,1,321127,3211264,1,367002,3670016,41879,129727,200704,,15554443
28,1,60757,1605632,1,60785,1835008,1023,60815,107520,1,160564,1605632,1,183501,1835008,60815,62383,50176,,7565939
29,1,94593,2654208,1,94609,2949120,2303,94639,77824,1,265421,2654208,1,294912,2949120,94639,95791,36864,,12164363
30,1,71173,1605632,1,71201,1835008,255,71231,430080,1,160564,1605632,1,183501,1835008,23191,72383,200704,,8118667
31,1,60757,1605632,1,60785,1835008,1023,60815,107520,1,160564,1605632,1,183501,1835008,60815,62383,50176,,7565939
32,1,94593,2654208,1,94609,2949120,2303,94639,77824,1,265421,2654208,1,294912,2949120,94639,95791,36864,,12164363
33,1,71173,1605632,1,71201,1835008,255,71231,430080,1,160564,1605632,1,183501,1835008,23191,72383,200704,,8118667
34,1,60757,1605632,1,60785,1835008,1023,60815,107520,1,160564,1605632,1,183501,1835008,60815,62383,50176,,7565939
35,1,94593,2654208,1,94609,2949120,2303,94639,77824,1,265421,2654208,1,294912,2949120,94639,95791,36864,,12164363
36,1,71173,1605632,1,71201,1835008,255,71231,430080,1,160564,1605632,1,183501,1835008,23191,72383,200704,,8118667
37,1,60757,1605632,1,60785,1835008,1023,60815,107520,1,160564,1605632,1,183501,1835008,60815,62383,50176,,7565939
38,1,94593,2654208,1,94609,2949120,2303,94639,77824,1,265421,2654208,1,294912,2949120,94639,95791,36864,,12164363
39,1,71173,1605632,1,71201,1835008,255,71231,430080,1,160564,1605632,1,183501,1835008,23191,72383,200704,,8118667
40,1,60757,1605632,1,60785,1835008,1023,60815,107520,1,160564,1605632,1,183501,1835008,60815,62383,50176,,7565939
41,1,94593,2654208,1,94609,2949120,2303,94639,77824,1,265421,2654208,1,294912,2949120,94639,95791,36864,,12164363
42,1,71173,1605632,1,71201,1835008,255,71231,430080,1,160564,1605632,1,183501,1835008,23191,72383,200704,,8118667
43,1,742193,21233664,1,742209,23592960,9215,742239,155648,1,2123367,21233664,1,2359296,23592960,667953,743519,73728,,96658275
44,1,7977,200704,1,7977,129024,511,8007,21392,1,20071,200704,1,12903,129024,8035,8255,7056,,744544
45,1,3959,100352,1,3973,64512,511,4003,10696,1,10036,100352,1,6452,64512,4017,4127,3528,,371970
,,,,,,,,,,,,,,,,,,,,523242215
